,date,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus
0,2016-10-27,Team.ATLANTA_HAWKS,Location.HOME,Team.WASHINGTON_WIZARDS,Outcome.WIN,1319,6,8,1,1,0,2,3,4,5,5,0,1,2,13,19.0,19
1,2016-10-29,Team.ATLANTA_HAWKS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.WIN,1165,4,4,0,0,3,4,0,4,1,1,0,0,1,11,11.9,19
2,2016-10-31,Team.ATLANTA_HAWKS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,1428,2,5,0,2,0,0,1,6,3,4,0,2,1,4,7.5,20
3,2016-11-02,Team.ATLANTA_HAWKS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1136,2,6,0,2,0,0,1,3,3,2,0,2,0,4,4.3,4
4,2016-11-04,Team.ATLANTA_HAWKS,Location.AWAY,Team.WASHINGTON_WIZARDS,Outcome.LOSS,1600,2,4,1,2,0,0,0,2,3,2,0,0,3,5,6.5,7
5,2016-11-05,Team.ATLANTA_HAWKS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1440,4,8,0,1,0,0,3,1,1,3,1,1,0,8,9.8,7
6,2016-11-08,Team.ATLANTA_HAWKS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2122,2,6,1,3,0,0,2,3,1,1,0,1,3,5,3.4,-6
7,2016-11-09,Team.ATLANTA_HAWKS,Location.HOME,Team.CHICAGO_BULLS,Outcome.WIN,1716,8,9,2,3,2,2,1,4,1,3,1,4,0,20,19.2,8
8,2016-11-12,Team.ATLANTA_HAWKS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.WIN,1066,3,7,1,3,0,0,0,2,1,2,0,1,1,7,5.2,15
9,2016-11-15,Team.ATLANTA_HAWKS,Location.AWAY,Team.MIAMI_HEAT,Outcome.WIN,1395,0,2,0,2,3,4,0,2,0,3,0,0,0,3,4.8,-5
10,2016-11-22,Team.ATLANTA_HAWKS,Location.HOME,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1361,3,7,0,1,0,0,0,3,1,1,0,1,0,6,3.9,-7
11,2016-11-23,Team.ATLANTA_HAWKS,Location.AWAY,Team.INDIANA_PACERS,Outcome.WIN,1965,2,8,0,2,0,0,0,7,3,1,0,3,2,4,0.6,-14
12,2016-11-25,Team.ATLANTA_HAWKS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,1392,4,7,0,1,3,4,3,4,2,0,0,0,0,11,12.0,-23
13,2016-11-27,Team.ATLANTA_HAWKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1218,1,3,0,1,0,0,1,4,1,0,0,0,1,2,2.5,-8
14,2016-11-28,Team.ATLANTA_HAWKS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,1534,3,8,0,0,3,4,0,5,2,2,1,1,3,9,7.6,-8
15,2016-11-30,Team.ATLANTA_HAWKS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,1843,3,6,0,0,0,0,1,7,1,5,0,1,4,6,8.9,-6
16,2016-12-02,Team.ATLANTA_HAWKS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,995,2,5,1,1,0,0,0,2,0,1,0,0,0,5,3.9,-16
17,2016-12-03,Team.ATLANTA_HAWKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,1396,3,7,2,3,0,0,1,3,1,0,1,2,0,8,5.3,-19
