,name,Lineup_name
0,Jeff Adrien,J. Adrien
1,Arron Afflalo,A. Afflalo
2,Blake Ahearn,B. Ahearn
3,Solomon Alabi,S. Alabi
4,Cole Aldrich,C. Aldrich
5,LaMarcus Aldridge,L. Aldridge
6,Lavoy Allen,L. Allen
7,Ray Allen*,R. Allen*
8,Tony Allen,T. Allen
9,Morris Almond,M. Almond
10,Al-Farouq Aminu,A. Aminu
11,Lou Amundson,L. Amundson
12,Chris Andersen,C. Andersen
13,Alan Anderson,A. Anderson
14,James Anderson,J. Anderson
15,Ryan Anderson,R. Anderson
16,Carmelo Anthony,C. Anthony
17,Joel Anthony,J. Anthony
18,Gilbert Arenas,G. Arenas
19,Trevor Ariza,T. Ariza
20,Ömer Aşık,Ö. Aşık
21,D.J. Augustin,D. Augustin
22,Gustavo Ayón,G. Ayón
23,Jeff Ayres,J. Ayres
24,Kelenna Azubuike,K. Azubuike
25,Luke Babbitt,L. Babbitt
26,Renaldo Balkman,R. Balkman
27,Leandro Barbosa,L. Barbosa
29,J.J. Barea,J. Barea
30,Andrea Bargnani,A. Bargnani
31,Matt Barnes,M. Barnes
32,Earl Barron,E. Barron
33,Brandon Bass,B. Bass
34,Tony Battie,T. Battie
35,Shane Battier,S. Battier
36,Nicolas Batum,N. Batum
37,Jerryd Bayless,J. Bayless
38,Michael Beasley,M. Beasley
39,Rodrigue Beaubois,R. Beaubois
40,Marco Belinelli,M. Belinelli
41,Raja Bell,R. Bell
42,Keith Benson,K. Benson
43,Mike Bibby,M. Bibby
44,Andris Biedriņš,A. Biedriņš
45,Chauncey Billups,C. Billups
46,Bismack Biyombo,B. Biyombo
47,DeJuan Blair,D. Blair
48,Steve Blake,S. Blake
49,Andray Blatche,A. Blatche
50,Eric Bledsoe,E. Bledsoe
51,Keith Bogans,K. Bogans
52,Andrew Bogut,A. Bogut
53,Matt Bonner,M. Bonner
54,Trevor Booker,T. Booker
55,Carlos Boozer,C. Boozer
56,Chris Bosh,C. Bosh
57,Earl Boykins,E. Boykins
58,Craig Brackins,C. Brackins
59,Avery Bradley,A. Bradley
60,Elton Brand,E. Brand
61,Corey Brewer,C. Brewer
62,Ronnie Brewer,R. Brewer
63,Jon Brockman,J. Brockman
64,MarShon Brooks,M. Brooks
65,Derrick Brown,D. Brown
66,Kwame Brown,K. Brown
67,Shannon Brown,S. Brown
68,Kobe Bryant,K. Bryant
69,Chase Budinger,C. Budinger
70,Alec Burks,A. Burks
71,Caron Butler,C. Butler
72,Jimmy Butler,J. Butler
73,Rasual Butler,R. Butler
74,Derrick Byars,D. Byars
75,Andrew Bynum,A. Bynum
76,Will Bynum,W. Bynum
77,José Calderón,J. Calderón
78,Marcus Camby,M. Camby
80,Brian Cardinal,B. Cardinal
81,DeMarre Carroll,D. Carroll
83,Matt Carroll,M. Carroll
84,Anthony Carter,A. Carter
85,Vince Carter,V. Carter
86,Omri Casspi,O. Casspi
87,Mario Chalmers,M. Chalmers
88,Tyson Chandler,T. Chandler
89,Wilson Chandler,W. Chandler
90,Josh Childress,J. Childress
91,Earl Clark,E. Clark
92,Norris Cole,N. Cole
93,Jason Collins,J. Collins
94,Darren Collison,D. Collison
95,Nick Collison,N. Collison
96,Mike Conley,M. Conley
97,Brian Cook,B. Cook
99,Daequan Cook,D. Cook
100,DeMarcus Cousins,D. Cousins
101,Jamal Crawford,J. Crawford
102,Jordan Crawford,J. Crawford
103,Dante Cunningham,D. Cunningham
104,Eddy Curry,E. Curry
105,Stephen Curry,S. Curry
106,Samuel Dalembert,S. Dalembert
107,Erick Dampier,E. Dampier
108,Marquis Daniels,M. Daniels
109,Baron Davis,B. Davis
110,Ed Davis,E. Davis
111,Glen Davis,G. Davis
112,Josh Davis,J. Davis
113,Eric Dawson,E. Dawson
114,Austin Daye,A. Daye
115,Carlos Delfino,C. Delfino
116,Luol Deng,L. Deng
117,Justin Dentmon,J. Dentmon
119,DeMar DeRozan,D. DeRozan
120,Boris Diaw,B. Diaw
122,Ike Diogu,I. Diogu
123,DeSagana Diop,D. Diop
124,Keyon Dooling,K. Dooling
125,Toney Douglas,T. Douglas
126,Goran Dragić,G. Dragić
127,Jared Dudley,J. Dudley
128,Chris Duhon,C. Duhon
129,Tim Duncan,T. Duncan
130,Mike Dunleavy,M. Dunleavy
131,Kevin Durant,K. Durant
132,Jerome Dyson,J. Dyson
133,Devin Ebanks,D. Ebanks
134,Wayne Ellington,W. Ellington
135,Monta Ellis,M. Ellis
137,Francisco Elson,F. Elson
138,Andre Emmett,A. Emmett
139,Semih Erden,S. Erden
140,Jeremy Evans,J. Evans
141,Maurice Evans,M. Evans
142,Reggie Evans,R. Evans
143,Tyreke Evans,T. Evans
144,Christian Eyenga,C. Eyenga
146,Kenneth Faried,K. Faried
147,Jordan Farmar,J. Farmar
148,Derrick Favors,D. Favors
149,Raymond Felton,R. Felton
150,Rudy Fernández,R. Fernández
151,Kyrylo Fesenko,K. Fesenko
152,Landry Fields,L. Fields
153,Derek Fisher,D. Fisher
155,Jonny Flynn,J. Flynn
157,Jeff Foote,J. Foote
158,Gary Forbes,G. Forbes
159,T.J. Ford,T. Ford
160,Courtney Fortson,C. Fortson
162,Jeff Foster,J. Foster
163,Randy Foye,R. Foye
164,Jimmer Fredette,J. Fredette
165,Channing Frye,C. Frye
166,Dan Gadzuric,D. Gadzuric
167,Sundiata Gaines,S. Gaines
168,Danilo Gallinari,D. Gallinari
169,Francisco García,F. García
170,Kevin Garnett,K. Garnett
171,Marc Gasol,M. Gasol
172,Pau Gasol,P. Gasol
173,Rudy Gay,R. Gay
174,Alonzo Gee,A. Gee
175,Paul George,P. George
176,Daniel Gibson,D. Gibson
177,Taj Gibson,T. Gibson
178,Manu Ginóbili,M. Ginóbili
179,Mickell Gladness,M. Gladness
181,Ryan Gomes,R. Gomes
182,Drew Gooden,D. Gooden
183,Ben Gordon,B. Gordon
184,Eric Gordon,E. Gordon
185,Marcin Gortat,M. Gortat
186,Andrew Goudelock,A. Goudelock
187,Danny Granger,D. Granger
188,Aaron Gray,A. Gray
189,Danny Green,D. Green
190,Gerald Green,G. Green
191,Willie Green,W. Green
192,Donté Greene,D. Greene
193,Blake Griffin,B. Griffin
194,Hamed Haddadi,H. Haddadi
195,Jordan Hamilton,J. Hamilton
196,Richard Hamilton,R. Hamilton
197,Tyler Hansbrough,T. Hansbrough
198,Luke Harangody,L. Harangody
199,James Harden,J. Harden
200,Justin Harper,J. Harper
201,Josh Harrellson,J. Harrellson
202,Al Harrington,A. Harrington
203,Devin Harris,D. Harris
204,Manny Harris,M. Harris
205,Terrel Harris,T. Harris
206,Tobias Harris,T. Harris
207,Udonis Haslem,U. Haslem
208,Spencer Hawes,S. Hawes
209,Chuck Hayes,C. Hayes
210,Gordon Hayward,G. Hayward
211,Lazar Hayward,L. Hayward
212,Brendan Haywood,B. Haywood
213,Gerald Henderson,G. Henderson
214,Xavier Henry,X. Henry
215,Roy Hibbert,R. Hibbert
216,J.J. Hickson,J. Hickson
218,Cory Higgins,C. Higgins
219,Nenê Hilário,N. Hilário
221,George Hill,G. Hill
222,Grant Hill*,G. Hill*
223,Jordan Hill,J. Hill
225,Kirk Hinrich,K. Hinrich
226,Darington Hobson,D. Hobson
227,Jrue Holiday,J. Holiday
228,Ryan Hollins,R. Hollins
230,Tyler Honeycutt,T. Honeycutt
231,Al Horford,A. Horford
232,Dennis Horner,D. Horner
233,Dwight Howard,D. Howard
234,Josh Howard,J. Howard
235,Juwan Howard,J. Howard
236,Lester Hudson,L. Hudson
238,Larry Hughes,L. Hughes
239,Kris Humphries,K. Humphries
240,Serge Ibaka,S. Ibaka
241,Andre Iguodala,A. Iguodala
242,Ersan İlyasova,E. İlyasova
243,Kyrie Irving,K. Irving
244,Royal Ivey,R. Ivey
245,Jarrett Jack,J. Jack
246,Reggie Jackson,R. Jackson
247,Stephen Jackson,S. Jackson
249,Damion James,D. James
250,LeBron James,L. James
251,Mike James,M. James
252,Antawn Jamison,A. Jamison
253,Al Jefferson,A. Jefferson
254,Richard Jefferson,R. Jefferson
256,Jared Jeffries,J. Jeffries
257,Charles Jenkins,C. Jenkins
258,Brandon Jennings,B. Jennings
259,Jonas Jerebko,J. Jerebko
260,Yi Jianlian,Y. Jianlian
261,Amir Johnson,A. Johnson
262,Armon Johnson,A. Johnson
264,Carldell Johnson,C. Johnson
265,Chris Johnson,C. Johnson
267,Ivan Johnson,I. Johnson
268,JaJuan Johnson,J. Johnson
269,James Johnson,J. Johnson
270,Joe Johnson,J. Johnson
271,Trey Johnson,T. Johnson
272,Wesley Johnson,W. Johnson
273,Dahntay Jones,D. Jones
274,Dominique Jones,D. Jones
275,James Jones,J. Jones
276,Solomon Jones,S. Jones
278,DeAndre Jordan,D. Jordan
279,Jerome Jordan,J. Jordan
280,Cory Joseph,C. Joseph
281,Chris Kaman,C. Kaman
282,Enes Kanter,E. Kanter
283,Jason Kapono,J. Kapono
284,D.J. Kennedy,D. Kennedy
285,Jason Kidd*,J. Kidd*
286,Linas Kleiza,L. Kleiza
287,Brandon Knight,B. Knight
288,Kyle Korver,K. Korver
289,Kosta Koufos,K. Koufos
290,Carl Landry,C. Landry
291,Ty Lawson,T. Lawson
292,Courtney Lee,C. Lee
293,David Lee,D. Lee
294,Malcolm Lee,M. Lee
295,Kawhi Leonard,K. Leonard
296,Travis Leslie,T. Leslie
297,Jon Leuer,J. Leuer
298,Rashard Lewis,R. Lewis
299,DeAndre Liggins,D. Liggins
300,Jeremy Lin,J. Lin
301,Shaun Livingston,S. Livingston
302,Brook Lopez,B. Lopez
303,Robin Lopez,R. Lopez
304,Kevin Love,K. Love
305,Kyle Lowry,K. Lowry
306,John Lucas III,J. Lucas
307,Shelvin Mack,S. Mack
308,Vernon Macklin,V. Macklin
309,Corey Maggette,C. Maggette
310,Jamaal Magloire,J. Magloire
311,Ian Mahinmi,I. Mahinmi
312,Shawn Marion,S. Marion
313,Cartier Martin,C. Martin
314,Kenyon Martin,K. Martin
315,Kevin Martin,K. Martin
316,Roger Mason,R. Mason
317,Wesley Matthews,W. Matthews
318,Jason Maxiell,J. Maxiell
319,Eric Maynor,E. Maynor
320,O.J. Mayo,O. Mayo
321,Luc Mbah a Moute,L. Mbah
322,JaVale McGee,J. McGee
324,Tracy McGrady*,T. McGrady*
325,Dominic McGuire,D. McGuire
326,Josh McRoberts,J. McRoberts
327,Jodie Meeks,J. Meeks
328,C.J. Miles,C. Miles
329,Darko Miličić,D. Miličić
330,Andre Miller,A. Miller
331,Brad Miller,B. Miller
332,Mike Miller,M. Miller
333,Patty Mills,P. Mills
334,Paul Millsap,P. Millsap
335,Nazr Mohammed,N. Mohammed
336,Greg Monroe,G. Monroe
337,Jamario Moon,J. Moon
338,E'Twaun Moore,E. Moore
339,Mikki Moore,M. Moore
340,Darius Morris,D. Morris
341,Marcus Morris,M. Morris
342,Markieff Morris,M. Morris
343,Anthony Morrow,A. Morrow
344,Timofey Mozgov,T. Mozgov
345,Byron Mullens,B. Mullens
346,Troy Murphy,T. Murphy
347,Hamady N'Diaye,H. N'Diaye
348,Eduardo Nájera,E. Nájera
349,Steve Nash*,S. Nash*
350,Gary Neal,G. Neal
351,Jameer Nelson,J. Nelson
352,Joakim Noah,J. Noah
353,Andrés Nocioni,A. Nocioni
354,Steve Novak,S. Novak
