,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1898.5,5.8,8.9,0.0,0.0,2.5,4.3,4.7,4.2,1.1,1.0,1.4,1.3,3.1,14.23,,,,,,,
1,1388.3333333333333,1.7777777777777777,4.444444444444445,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.5555555555555556,1.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,2.7777777777777777,3.9111111111111114,,,,,,,
2,1895.5,4.833333333333333,14.666666666666666,1.8333333333333333,6.166666666666667,4.333333333333333,4.5,0.6666666666666666,4.5,3.5,1.3333333333333333,0.5,1.6666666666666667,2.0,10.916666666666666,,,,,,,
3,1864.25,6.0,11.75,0.75,3.0,2.5,3.75,1.5,5.0,5.25,2.25,0.75,1.5,2.75,15.325,,,,,,,
4,1935.75,5.625,12.375,2.75,6.75,2.125,2.375,0.375,2.375,8.0,1.375,0.125,2.125,2.75,14.425,,,,,,,
0,1797.5294117647059,5.117647058823529,12.470588235294118,1.8235294117647058,5.117647058823529,2.0,2.3529411764705883,0.7647058823529411,4.294117647058823,4.117647058823529,0.5882352941176471,0.5294117647058824,1.5294117647058822,1.6470588235294117,10.711764705882352,,,,,,,
1,2018.2941176470588,6.882352941176471,13.941176470588236,1.8823529411764706,5.882352941176471,2.1176470588235294,2.411764705882353,0.5294117647058824,2.411764705882353,2.764705882352941,1.5294117647058822,0.29411764705882354,1.7647058823529411,1.8235294117647058,12.911764705882351,,,,,,,
2,1965.75,6.3,13.2,1.15,3.6,3.75,4.4,2.45,8.6,6.9,1.15,0.7,3.0,2.95,17.104999999999997,,,,,,,
3,1572.2857142857142,4.285714285714286,8.5,0.9285714285714286,2.0714285714285716,2.0714285714285716,3.0714285714285716,1.8571428571428572,4.571428571428571,2.2142857142857144,1.2142857142857142,0.5714285714285714,1.5714285714285714,2.142857142857143,10.342857142857143,,,,,,,
4,2039.4285714285713,8.047619047619047,16.047619047619047,3.0476190476190474,6.714285714285714,3.0,3.2857142857142856,1.1904761904761905,3.5714285714285716,3.8095238095238093,1.0952380952380953,0.5714285714285714,2.4285714285714284,1.9047619047619047,16.890476190476193,,,,,,,
0,1960.7272727272727,5.636363636363637,13.909090909090908,1.9090909090909092,5.0,2.909090909090909,3.5454545454545454,0.7272727272727273,4.0,1.6363636363636365,0.18181818181818182,0.36363636363636365,1.3636363636363635,1.1818181818181819,9.80909090909091,,,,,,,
1,1464.8,3.5,7.5,1.0,3.1,1.1,1.5,1.4,4.7,1.4,0.4,0.6,0.9,2.5,7.38,,,,,,,
2,1403.0,3.875,6.5,0.75,1.875,0.75,1.0,1.25,5.0,1.25,1.0,1.375,0.875,2.75,9.3875,,,,,,,
3,1827.5833333333333,5.5,12.5,0.8333333333333334,2.0,2.6666666666666665,3.4166666666666665,0.5,2.1666666666666665,6.166666666666667,1.8333333333333333,0.25,2.3333333333333335,2.8333333333333335,11.508333333333333,,,,,,,
4,1671.3636363636363,6.363636363636363,12.363636363636363,3.1818181818181817,6.0,1.2727272727272727,1.5454545454545454,1.0,3.4545454545454546,1.8181818181818181,0.36363636363636365,0.9090909090909091,1.4545454545454546,1.8181818181818181,12.79090909090909,,,,,,,
0,1839.6315789473683,4.684210526315789,11.0,1.631578947368421,4.526315789473684,1.2105263157894737,1.368421052631579,0.5789473684210527,2.0,2.9473684210526314,0.7894736842105263,0.10526315789473684,1.7894736842105263,2.526315789473684,7.452631578947367,,,,,,,
1,2013.9166666666667,8.5,17.916666666666668,0.5833333333333334,2.5,4.75,5.833333333333333,2.3333333333333335,9.333333333333334,3.0833333333333335,1.8333333333333333,3.0,2.0,2.3333333333333335,20.349999999999998,,,,,,,
2,1699.3076923076924,3.6153846153846154,8.23076923076923,2.6923076923076925,6.3076923076923075,1.0769230769230769,1.2307692307692308,0.46153846153846156,3.8461538461538463,0.6153846153846154,0.7692307692307693,1.2307692307692308,0.6923076923076923,3.076923076923077,8.238461538461538,,,,,,,
3,2268.6435643564355,10.693069306930694,20.07920792079208,1.7326732673267327,5.00990099009901,5.207920792079208,7.128712871287129,1.2079207920792079,7.603960396039604,9.009900990099009,1.4356435643564356,0.8811881188118812,4.336633663366337,1.7821782178217822,24.21683168316832,,,,,,,
4,1108.0,4.866666666666666,8.266666666666667,0.0,0.3333333333333333,0.6,0.7333333333333333,2.3333333333333335,3.933333333333333,0.6666666666666666,0.6,1.6666666666666667,0.8666666666666667,2.2666666666666666,9.713333333333333,,,,,,,
0,2004.5,8.2,16.5,0.6,2.3,5.4,7.8,1.6,9.2,5.9,1.6,1.4,3.2,3.0,19.36,,,,,,,
1,1789.2,5.3,13.5,1.0,5.1,3.0,3.8,0.8,2.3,4.7,1.4,0.4,2.1,2.2,10.19,,,,,,,
2,1611.3333333333333,3.888888888888889,8.555555555555555,2.2222222222222223,5.444444444444445,1.0,1.5555555555555556,0.3333333333333333,4.111111111111111,1.6666666666666667,0.5555555555555556,1.8888888888888888,0.6666666666666666,2.3333333333333335,9.255555555555555,,,,,,,
3,1999.0,4.4,11.0,1.8,5.0,2.4,3.0,0.2,2.4,2.6,1.0,0.0,0.8,2.8,8.58,,,,,,,
4,1920.3,7.1,15.8,2.3,6.4,2.7,3.1,0.6,5.6,4.7,1.2,0.0,1.6,2.3,14.889999999999997,,,,,,,
0,1160.125,1.625,5.25,0.25,1.875,0.75,1.0,0.875,1.625,1.25,0.875,0.375,0.625,2.625,2.5624999999999996,,,,,,,
1,1990.5882352941176,5.980392156862745,11.196078431372548,0.0,0.21568627450980393,3.176470588235294,5.215686274509804,4.8431372549019605,10.196078431372548,3.392156862745098,1.4705882352941178,1.4705882352941178,2.588235294117647,3.3333333333333335,16.278431372549022,,,,,,,
2,612.0714285714286,1.1428571428571428,2.142857142857143,0.21428571428571427,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,1.7142857142857142,2.142857142857143,0.5714285714285714,0.0,1.0714285714285714,1.0,2.7142857142857144,,,,,,,
3,1651.913669064748,4.719424460431655,11.007194244604317,1.7482014388489209,4.58273381294964,2.1510791366906474,2.683453237410072,0.9856115107913669,5.0071942446043165,1.2805755395683454,0.5035971223021583,0.302158273381295,1.1942446043165467,2.323741007194245,8.987769784172661,,,,,,,
4,1084.25,1.7857142857142858,4.0,1.0,2.642857142857143,0.25,0.25,0.14285714285714285,1.1428571428571428,0.6785714285714286,0.2857142857142857,0.42857142857142855,0.21428571428571427,1.25,3.5249999999999995,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,
