,Unnamed: 0,season,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,stats_id,player,link
0,0,2013-14,63.0,848.0,9.9,10.7,9.8,3.4,4.3,9.0,10.3,32.7,25.8,27.8,9.8,12.0,20.9,33.3,10.0,27.1,12.4,9.8,203112,Quincy Acy,https://stats.nba.com/player/203112/
1,1,2014-15,68.0,1287.0,15.1,16.9,15.2,9.0,10.5,20.9,20.6,26.8,26.9,26.9,12.4,14.4,12.4,18.6,10.3,26.5,22.6,16.8,203112,Quincy Acy,https://stats.nba.com/player/203112/
2,2,2015-16,59.0,876.0,12.8,16.7,13.5,13.3,11.8,19.2,18.3,30.7,21.0,23.5,6.5,8.5,16.3,28.9,6.5,28.1,20.6,16.8,203112,Quincy Acy,https://stats.nba.com/player/203112/
3,3,2016-17,38.0,558.0,16.5,17.1,17.7,29.1,24.9,17.2,18.6,19.8,25.5,24.3,7.9,11.4,15.4,32.6,10.0,25.8,22.8,18.4,203112,Quincy Acy,https://stats.nba.com/player/203112/
4,4,2017-18,70.0,1359.0,14.3,12.3,15.3,25.6,26.5,10.3,10.0,16.3,22.1,21.0,8.6,13.8,19.4,23.8,9.5,24.5,14.7,13.7,203112,Quincy Acy,https://stats.nba.com/player/203112/
5,5,2018-19,10.0,123.0,8.8,4.2,8.2,7.4,16.1,12.3,12.8,15.0,24.7,22.9,13.3,11.8,4.5,25.0,0.0,31.6,21.2,6.2,203112,Quincy Acy,https://stats.nba.com/player/203112/
6,6,2018-19,10.0,123.0,8.8,4.2,8.2,7.4,16.1,12.3,12.8,15.0,24.7,22.9,13.3,11.8,4.5,25.0,0.0,31.6,21.2,6.2,203112,Quincy Acy,https://stats.nba.com/player/203112/
7,7,2018-19,34.0,428.0,13.1,10.5,13.1,17.2,19.6,6.4,5.8,11.1,16.2,14.9,29.7,21.2,17.9,10.2,12.5,20.9,8.8,11.0,1629121,Jaylen Adams,https://stats.nba.com/player/1629121/
8,8,2018-19,34.0,428.0,13.1,10.5,13.1,17.2,19.6,6.4,5.8,11.1,16.2,14.9,29.7,21.2,17.9,10.2,12.5,20.9,8.8,11.0,1629121,Jaylen Adams,https://stats.nba.com/player/1629121/
9,9,2018-19,34.0,428.0,13.1,10.5,13.1,17.2,19.6,6.4,5.8,11.1,16.2,14.9,29.7,21.2,17.9,10.2,12.5,20.9,8.8,11.0,1629121,Jaylen Adams,https://stats.nba.com/player/1629121/
