,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,stats_id,player,year,number,slug
1,9.0,144.0,13.9,14.4,15.7,25.0,31.3,3.6,5.3,3.6,18.6,14.9,13.8,14.8,18.5,0.0,11.1,15.3,0.0,13.4,1114,Jaren Jackson,2002,3437,jacksja02
2,10.0,126.0,19.9,17.3,21.7,57.9,56.4,3.4,4.9,2.7,14.4,11.2,35.3,34.4,36.0,0.0,0.0,14.0,0.0,17.2,896,Tim Hardaway,2003,2821,hardati02
3,68.0,1022.0,18.7,20.3,19.3,0.0,2.6,21.1,21.9,36.6,20.4,24.5,10.2,18.9,9.2,16.8,35.3,26.2,0.0,19.6,718,Gary Trent,2004,6691,trentga02
4,18.0,261.0,16.3,12.2,17.8,26.3,36.4,14.2,12.2,11.4,18.8,16.5,23.1,13.7,17.1,0.0,7.7,16.3,0.0,13.2,779,Glen Rice,2004,5784,ricegl02
5,9.0,158.0,26.4,30.9,28.9,11.8,13.0,33.3,29.5,9.3,20.2,16.9,13.1,14.3,18.2,13.0,31.8,26.4,0.0,30.3,299,Glenn Robinson,2005,5865,robingl02
6,68.0,1503.0,14.4,13.5,15.6,17.2,21.7,7.8,7.9,6.1,11.9,10.6,32.4,14.6,22.2,1.8,21.7,17.6,10.2,12.7,56,Gary Payton,2007,5480,paytoga02
7,6.0,45.0,14.0,12.5,11.1,0.0,7.7,55.6,61.5,28.6,14.8,17.6,5.6,11.8,28.6,16.7,0.0,9.5,29.4,16.5,2765,Andre Emmett,2012,2083,emmetan01
8,24.0,209.0,15.9,12.9,16.4,29.4,22.7,11.8,11.5,10.4,19.6,17.3,44.7,19.1,24.2,14.8,0.0,18.7,15.8,13.5,1853,Anthony Carter,2012,1190,cartean01
9,51.0,1280.0,13.8,14.5,14.8,25.8,24.8,8.9,10.1,3.1,16.6,12.6,20.8,12.0,19.6,8.1,4.3,13.5,15.0,14.5,1515,Anthony Parker,2012,5389,parkean01
10,9.0,124.0,17.8,23.3,19.1,8.3,7.3,14.6,12.0,2.9,13.8,10.7,26.2,17.6,26.3,0.0,26.7,19.1,13.3,20.9,202356,Armon Johnson,2012,3644,johnsar02
11,29.0,595.0,20.5,14.9,18.9,22.4,26.6,8.7,9.2,8.7,12.3,11.2,54.4,35.2,28.8,8.6,15.4,23.9,10.8,14.7,1884,Baron Davis,2012,1679,davisba01
12,18.0,370.0,15.9,13.8,16.7,0.0,1.0,9.7,12.1,21.8,18.1,19.0,42.4,16.2,37.8,8.3,41.2,19.3,18.5,12.4,202386,Ben Uzoh,2012,6780,uzohbe01
13,62.0,980.0,6.8,5.5,5.6,1.1,1.3,4.5,10.2,36.0,31.9,33.0,13.3,11.4,26.6,58.0,5.1,15.3,15.1,5.0,1112,Ben Wallace,2012,6896,wallabe01
14,4.0,30.0,27.1,20.0,30.4,100.0,75.0,0.0,0.0,0.0,10.5,8.7,8.3,31.3,0.0,0.0,0.0,28.6,0.0,19.2,201336,Blake Ahearn,2012,56,ahearbl01
15,28.0,418.0,11.0,9.1,12.8,28.6,29.7,3.3,3.8,16.2,15.7,15.9,6.6,7.9,15.3,9.4,21.4,21.1,4.9,9.9,2250,Bobby Simmons,2012,6152,simmobo01
16,15.0,146.0,13.6,8.7,11.0,31.8,20.0,20.8,16.9,12.9,16.7,15.7,39.3,26.7,19.0,15.4,14.3,20.0,25.8,12.7,1802,Brad Miller,2012,4775,millebr01
17,44.0,277.0,10.3,7.6,12.0,25.6,30.6,5.1,4.2,8.3,16.8,15.0,16.2,10.1,14.8,7.7,6.7,28.1,11.7,8.5,2073,Brian Cardinal,2012,1169,cardibr01
18,32.0,276.0,18.2,14.8,20.8,23.8,35.0,11.0,8.2,20.0,30.5,28.1,8.7,12.9,13.3,22.7,10.5,32.4,11.1,14.9,2567,Brian Cook,2012,1491,cookbr01
19,28.0,122.0,14.4,15.4,14.4,6.3,14.0,6.1,8.6,20.5,17.1,18.3,25.9,32.1,27.8,23.1,16.7,20.5,9.4,13.0,2243,Brian Scalabrine,2012,6017,scalabr01
20,1.0,4.0,10.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,1730,Brian Skinner,2012,6210,skinnbr01
21,15.0,119.0,17.6,13.6,19.7,36.4,45.5,2.4,5.2,4.8,9.6,8.7,44.0,20.0,44.4,0.0,25.0,22.0,11.8,12.6,201291,Carldell Johnson,2012,3665,johnsca01
22,7.0,103.0,14.2,10.0,15.1,9.1,8.3,12.9,17.0,12.5,14.5,13.9,14.7,9.1,42.9,50.0,0.0,15.2,14.0,10.5,201963,Christian Eyenga,2012,2165,eyengch01
23,10.0,95.0,20.4,19.6,19.2,33.3,33.3,30.3,31.3,20.0,13.8,15.8,32.3,28.6,27.3,0.0,23.5,10.6,31.6,22.7,202622,Courtney Fortson,2012,2307,fortsco01
24,14.0,88.0,18.4,16.4,21.0,30.0,32.1,4.8,6.1,19.2,16.9,17.6,22.2,16.0,0.0,12.5,35.7,26.1,9.1,15.6,202342,Craig Brackins,2012,822,brackcr01
25,47.0,464.0,15.4,17.2,14.6,0.0,0.6,22.4,24.5,30.8,27.4,28.4,10.6,16.8,22.5,9.4,25.5,27.8,19.3,17.0,200783,Craig Smith,2012,6238,smithcr01
26,2.0,59.0,13.0,12.8,12.5,50.0,28.6,0.0,11.1,14.3,18.8,17.9,15.8,16.7,33.3,0.0,0.0,31.8,5.6,12.9,202810,D.J. Kennedy,2012,3960,kennedj01
27,2.0,13.0,12.9,0.0,9.1,0.0,0.0,0.0,66.7,50.0,57.1,55.6,0.0,16.7,33.3,100.0,100.0,50.0,50.0,0.0,2429,Dan Gadzuric,2012,2394,gadzuda01
28,5.0,39.0,16.7,7.7,21.0,0.0,54.5,0.0,0.0,0.0,12.5,7.9,40.0,14.3,0.0,0.0,0.0,6.7,16.7,5.7,202359,Darington Hobson,2012,3159,hobsoda01
