,date1,date2,away,home,away_team_score,home_team_score,game_number,game_id
0,2012-10-30,2012-10-29,WASHINGTON_WIZARDS,CLEVELAND_CAVALIERS,84.0,94.0,0,0
1,2012-10-31,2012-10-30,BOSTON_CELTICS,MIAMI_HEAT,107.0,120.0,1,1
2,2012-10-31,2012-10-30,DALLAS_MAVERICKS,LOS_ANGELES_LAKERS,99.0,91.0,2,2
3,2012-10-31,2012-10-30,INDIANA_PACERS,TORONTO_RAPTORS,90.0,88.0,3,3
4,2012-10-31,2012-10-30,DENVER_NUGGETS,PHILADELPHIA_76ERS,75.0,84.0,4,4
5,2012-10-31,2012-10-30,HOUSTON_ROCKETS,DETROIT_PISTONS,105.0,96.0,5,5
6,2012-11-01,2012-10-31,SAN_ANTONIO_SPURS,NEW_ORLEANS_HORNETS,99.0,95.0,6,6
7,2012-11-01,2012-10-31,SACRAMENTO_KINGS,CHICAGO_BULLS,87.0,93.0,7,7
8,2012-11-01,2012-10-31,DALLAS_MAVERICKS,UTAH_JAZZ,94.0,113.0,8,8
9,2012-11-01,2012-10-31,GOLDEN_STATE_WARRIORS,PHOENIX_SUNS,87.0,85.0,9,9
10,2012-11-01,2012-10-31,MEMPHIS_GRIZZLIES,LOS_ANGELES_CLIPPERS,92.0,101.0,10,10
11,2012-11-01,2012-10-31,LOS_ANGELES_LAKERS,PORTLAND_TRAIL_BLAZERS,106.0,116.0,11,11
12,2012-11-02,2012-11-01,OKLAHOMA_CITY_THUNDER,SAN_ANTONIO_SPURS,84.0,86.0,12,12
13,2012-11-02,2012-11-01,INDIANA_PACERS,CHARLOTTE_BOBCATS,89.0,90.0,13,13
14,2012-11-02,2012-11-01,DENVER_NUGGETS,ORLANDO_MAGIC,89.0,102.0,14,14
15,2012-11-02,2012-11-01,HOUSTON_ROCKETS,ATLANTA_HAWKS,109.0,102.0,15,15
16,2012-11-02,2012-11-01,MILWAUKEE_BUCKS,BOSTON_CELTICS,99.0,88.0,16,16
17,2012-11-02,2012-11-01,CHICAGO_BULLS,CLEVELAND_CAVALIERS,115.0,86.0,17,17
18,2012-11-03,2012-11-02,SACRAMENTO_KINGS,MINNESOTA_TIMBERWOLVES,80.0,92.0,18,18
19,2012-11-03,2012-11-02,UTAH_JAZZ,NEW_ORLEANS_HORNETS,86.0,88.0,19,19
20,2012-11-03,2012-11-02,MIAMI_HEAT,NEW_YORK_KNICKS,84.0,104.0,20,20
21,2012-11-03,2012-11-02,PORTLAND_TRAIL_BLAZERS,OKLAHOMA_CITY_THUNDER,92.0,106.0,21,21
22,2012-11-03,2012-11-02,DETROIT_PISTONS,PHOENIX_SUNS,89.0,92.0,22,22
23,2012-11-03,2012-11-02,MEMPHIS_GRIZZLIES,GOLDEN_STATE_WARRIORS,104.0,94.0,23,23
24,2012-11-03,2012-11-02,LOS_ANGELES_CLIPPERS,LOS_ANGELES_LAKERS,105.0,95.0,24,24
25,2012-11-03,2012-11-02,SACRAMENTO_KINGS,INDIANA_PACERS,98.0,106.0,25,25
26,2012-11-03,2012-11-02,BOSTON_CELTICS,WASHINGTON_WIZARDS,89.0,86.0,26,26
27,2012-11-03,2012-11-02,TORONTO_RAPTORS,BROOKLYN_NETS,100.0,107.0,27,27
28,2012-11-03,2012-11-02,DENVER_NUGGETS,MIAMI_HEAT,116.0,119.0,28,28
29,2012-11-04,2012-11-03,NEW_ORLEANS_HORNETS,CHICAGO_BULLS,89.0,82.0,29,29
30,2012-11-04,2012-11-03,PORTLAND_TRAIL_BLAZERS,HOUSTON_ROCKETS,95.0,85.0,30,30
31,2012-11-04,2012-11-03,CHARLOTTE_BOBCATS,DALLAS_MAVERICKS,99.0,126.0,31,31
32,2012-11-04,2012-11-03,CLEVELAND_CAVALIERS,MILWAUKEE_BUCKS,102.0,105.0,32,32
33,2012-11-04,2012-11-03,UTAH_JAZZ,SAN_ANTONIO_SPURS,100.0,110.0,33,33
34,2012-11-04,2012-11-03,GOLDEN_STATE_WARRIORS,LOS_ANGELES_CLIPPERS,114.0,110.0,34,34
35,2012-11-04,2012-11-03,PHILADELPHIA_76ERS,NEW_YORK_KNICKS,84.0,100.0,35,35
36,2012-11-04,2012-11-03,PHOENIX_SUNS,ORLANDO_MAGIC,94.0,115.0,36,36
37,2012-11-04,2012-11-03,MINNESOTA_TIMBERWOLVES,TORONTO_RAPTORS,86.0,105.0,37,37
38,2012-11-05,2012-11-04,ATLANTA_HAWKS,OKLAHOMA_CITY_THUNDER,104.0,95.0,38,38
39,2012-11-05,2012-11-04,DETROIT_PISTONS,LOS_ANGELES_LAKERS,79.0,108.0,39,39
40,2012-11-06,2012-11-05,NEW_YORK_KNICKS,PHILADELPHIA_76ERS,110.0,88.0,40,40
41,2012-11-06,2012-11-05,MINNESOTA_TIMBERWOLVES,BROOKLYN_NETS,107.0,96.0,41,41
42,2012-11-06,2012-11-05,PHOENIX_SUNS,MIAMI_HEAT,99.0,124.0,42,42
43,2012-11-06,2012-11-05,UTAH_JAZZ,MEMPHIS_GRIZZLIES,94.0,103.0,43,43
44,2012-11-06,2012-11-05,PORTLAND_TRAIL_BLAZERS,DALLAS_MAVERICKS,91.0,114.0,44,44
45,2012-11-06,2012-11-05,INDIANA_PACERS,SAN_ANTONIO_SPURS,79.0,101.0,45,45
46,2012-11-06,2012-11-05,GOLDEN_STATE_WARRIORS,SACRAMENTO_KINGS,92.0,94.0,46,46
47,2012-11-06,2012-11-05,CLEVELAND_CAVALIERS,LOS_ANGELES_CLIPPERS,108.0,101.0,47,47
