,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,997.75,1.0,3.25,1.0,2.75,0.0,0.0,0.25,2.5,2.0,0.0,0.25,1.0,2.0,1.8250000000000002,,,,,,,
1,786.4,1.6,3.2,1.4,3.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.6,1.4,2.3600000000000003,,,,,,,
2,1167.0,6.0,8.5,1.5,3.0,1.5,2.0,0.0,1.5,1.0,0.5,0.0,1.5,2.0,10.6,,,,,,,
3,1743.3333333333333,5.0,12.333333333333334,0.6666666666666666,2.0,2.0,3.3333333333333335,0.6666666666666666,2.0,7.666666666666667,0.3333333333333333,0.0,2.6666666666666665,1.0,9.200000000000001,,,,,,,
4,1752.2,6.0,14.0,0.6,1.8,2.0,2.6,1.8,2.6,1.2,1.6,0.6,0.8,2.4,10.1,,,,,,,
0,1845.25,4.625,10.0,2.0,4.0,1.5,1.875,0.875,4.5,5.625,0.75,0.25,3.25,1.75,10.325,,,,,,,
1,1777.5,5.916666666666667,8.666666666666666,0.0,0.0,2.9166666666666665,4.916666666666667,3.8333333333333335,7.75,1.5,0.5,0.9166666666666666,1.75,3.0,14.499999999999998,,,,,,,
2,1698.4285714285713,3.7142857142857144,8.714285714285714,0.0,0.0,2.2857142857142856,2.7142857142857144,1.5714285714285714,5.285714285714286,1.4285714285714286,1.1428571428571428,0.5714285714285714,0.5714285714285714,1.4285714285714286,9.014285714285716,,,,,,,
3,1913.875,7.625,16.0,3.5,8.0,3.375,4.0,0.75,2.875,5.25,1.0,0.125,1.75,1.25,17.625,,,,,,,
4,1626.0,3.0,8.222222222222221,2.0,5.222222222222222,1.2222222222222223,1.4444444444444444,1.6666666666666667,5.777777777777778,0.8888888888888888,1.2222222222222223,0.4444444444444444,0.5555555555555556,1.0,8.677777777777779,,,,,,,
0,1527.0,4.222222222222222,9.555555555555555,1.7777777777777777,4.0,1.4444444444444444,1.7777777777777777,0.3333333333333333,3.6666666666666665,2.0,1.1111111111111112,0.8888888888888888,2.111111111111111,2.0,8.08888888888889,,,,,,,
1,1114.3333333333333,2.888888888888889,4.333333333333333,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.8888888888888888,2.4444444444444446,5.0,0.8888888888888888,0.6666666666666666,1.4444444444444444,1.4444444444444444,2.7777777777777777,7.722222222222222,,,,,,,
2,1227.375,3.625,7.5,1.5,3.5,1.125,1.25,0.875,3.125,1.125,0.375,0.0,0.75,2.0,7.187499999999999,,,,,,,
3,1695.2222222222222,5.888888888888889,13.777777777777779,1.1111111111111112,3.3333333333333335,2.2222222222222223,2.888888888888889,0.3333333333333333,2.0,8.11111111111111,0.8888888888888888,0.0,2.4444444444444446,1.7777777777777777,11.799999999999999,,,,,,,
4,1403.8333333333333,2.0,7.666666666666667,0.5,3.3333333333333335,1.6666666666666667,1.8333333333333333,1.0,3.0,1.8333333333333333,0.5,0.3333333333333333,1.6666666666666667,1.1666666666666667,3.016666666666667,,,,,,,
0,1291.1538461538462,4.3076923076923075,8.307692307692308,1.0,3.0,1.3846153846153846,2.0,0.9230769230769231,3.3076923076923075,1.0,0.8461538461538461,0.3076923076923077,1.3846153846153846,2.3846153846153846,7.723076923076922,,,,,,,
1,1913.8947368421052,5.2631578947368425,10.631578947368421,1.0,3.0526315789473686,1.263157894736842,1.631578947368421,0.9473684210526315,4.7894736842105265,3.736842105263158,0.5263157894736842,1.0,1.9473684210526316,2.210526315789474,10.41578947368421,,,,,,,
2,2101.6099290780144,8.98581560283688,19.319148936170212,2.347517730496454,6.01418439716312,3.900709219858156,4.340425531914893,0.723404255319149,2.347517730496454,5.425531914893617,1.2907801418439717,0.41134751773049644,2.517730496453901,2.1914893617021276,17.307801418439713,,,,,,,
3,1980.1666666666667,4.416666666666667,12.083333333333334,1.3333333333333333,4.5,2.6666666666666665,3.0,0.5,3.1666666666666665,2.3333333333333335,0.8333333333333334,0.08333333333333333,1.0,2.5833333333333335,7.8,,,,,,,
4,1859.0,5.0,11.0,1.0,2.3333333333333335,2.6666666666666665,3.0,1.6666666666666667,4.666666666666667,2.3333333333333335,0.0,0.0,1.0,2.0,10.233333333333333,,,,,,,
0,1519.2857142857142,3.9523809523809526,9.571428571428571,1.4761904761904763,4.333333333333333,2.619047619047619,3.0,0.6666666666666666,3.3333333333333335,1.1428571428571428,0.42857142857142855,0.09523809523809523,1.1904761904761905,1.5238095238095237,7.690476190476192,,,,,,,
1,1425.7916666666667,3.0,7.208333333333333,0.5833333333333334,1.7916666666666667,0.5833333333333334,0.75,0.5416666666666666,1.6666666666666667,3.7083333333333335,1.0,0.08333333333333333,1.5416666666666667,1.75,5.545833333333334,,,,,,,
2,2019.121212121212,6.136363636363637,13.818181818181818,1.9696969696969697,5.333333333333333,1.5303030303030303,2.090909090909091,0.5454545454545454,3.787878787878788,2.6666666666666665,1.1515151515151516,0.3939393939393939,1.8181818181818181,2.242424242424242,10.427272727272724,,,,,,,
3,1722.888888888889,4.722222222222222,10.11111111111111,0.3333333333333333,1.1666666666666667,3.2222222222222223,3.6666666666666665,1.4444444444444444,4.777777777777778,1.0555555555555556,0.8333333333333334,1.6666666666666667,1.4444444444444444,3.2222222222222223,10.083333333333334,,,,,,,
4,2006.6923076923076,5.923076923076923,10.461538461538462,1.1538461538461537,1.9230769230769231,0.6153846153846154,1.4615384615384615,1.6923076923076923,5.230769230769231,1.7692307692307692,1.6923076923076923,0.07692307692307693,1.7692307692307692,2.3076923076923075,11.369230769230768,,,,,,,
0,1226.7619047619048,3.238095238095238,5.571428571428571,0.0,0.0,1.0952380952380953,2.0952380952380953,2.238095238095238,5.428571428571429,0.7619047619047619,0.6666666666666666,1.380952380952381,0.8571428571428571,2.142857142857143,8.214285714285715,,,,,,,
1,2240.318181818182,8.818181818181818,20.681818181818183,3.3636363636363638,9.909090909090908,8.590909090909092,10.136363636363637,0.8181818181818182,4.954545454545454,8.772727272727273,1.4090909090909092,0.4090909090909091,5.045454545454546,3.1363636363636362,21.61818181818182,,,,,,,
2,1297.3333333333333,2.0,4.5,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.5833333333333334,0.5,2.1666666666666665,0.6666666666666666,1.4166666666666667,0.4166666666666667,0.5833333333333334,1.75,4.441666666666666,,,,,,,
3,1878.6,6.1,13.5,1.9,5.5,2.2,2.4,0.5,4.4,7.9,2.4,0.0,1.8,2.5,16.01,,,,,,,
4,1523.3333333333333,1.5,4.833333333333333,0.5,2.75,0.9166666666666666,1.0833333333333333,1.0,4.416666666666667,1.3333333333333333,1.3333333333333333,0.25,0.6666666666666666,1.5833333333333333,4.733333333333333,,,,,,,
0,2232.8333333333335,4.666666666666667,12.0,0.3333333333333333,2.6666666666666665,5.333333333333333,6.833333333333333,1.3333333333333333,4.333333333333333,5.5,1.8333333333333333,0.6666666666666666,1.1666666666666667,0.5,14.883333333333333,,,,,,,
1,1623.4285714285713,4.714285714285714,10.285714285714286,0.0,0.42857142857142855,2.0,2.4285714285714284,1.1428571428571428,3.5714285714285716,0.7142857142857143,1.2857142857142858,0.5714285714285714,0.7142857142857143,2.7142857142857144,8.200000000000001,,,,,,,
2,1883.8,3.6,8.0,1.0,3.6,4.4,4.4,0.2,4.2,8.0,1.0,0.0,2.4,2.0,13.24,,,,,,,
3,2057.8333333333335,7.833333333333333,15.166666666666666,1.25,2.8333333333333335,3.9166666666666665,5.333333333333333,3.5833333333333335,7.25,3.0833333333333335,0.6666666666666666,1.6666666666666667,2.0833333333333335,3.5,17.974999999999998,,,,,,,
4,2131.0833333333335,7.666666666666667,16.083333333333332,1.1666666666666667,3.0833333333333335,4.75,6.75,1.1666666666666667,1.75,2.0833333333333335,0.6666666666666666,0.5833333333333334,1.75,1.5,13.783333333333333,,,,,,,
0,1605.0,4.2,8.2,3.4,6.4,1.2,1.6,0.4,1.6,0.2,0.8,0.2,1.4,2.2,8.34,,,,,,,
1,2067.4285714285716,5.428571428571429,11.428571428571429,0.0,0.0,2.2857142857142856,4.857142857142857,6.0,3.7142857142857144,1.7142857142857142,0.42857142857142855,1.8571428571428572,1.8571428571428572,2.857142857142857,11.528571428571427,,,,,,,
2,1476.625,2.875,7.5,0.625,2.125,1.125,1.375,0.5,2.25,4.25,1.125,0.125,1.125,1.625,6.737499999999999,,,,,,,
3,2112.0,5.75,14.75,2.0,5.0,3.5,3.75,0.5,4.75,4.5,1.75,0.5,3.75,3.25,10.85,,,,,,,
4,1537.6,2.2,7.8,1.8,5.2,1.0,1.6,1.6,4.6,0.6,0.4,0.2,0.6,1.4,4.68,,,,,,,
0,1792.4,2.0,6.4,1.0,3.2,1.4,1.8,2.0,4.4,1.0,0.8,0.8,0.8,1.2,6.0600000000000005,,,,,,,
1,1629.8333333333333,2.8333333333333335,5.166666666666667,0.5,1.3333333333333333,1.5,2.0,1.5,1.8333333333333333,0.8333333333333334,1.6666666666666667,0.16666666666666666,0.3333333333333333,2.1666666666666665,7.75,,,,,,,
2,2264.0,10.166666666666666,23.5,4.0,9.666666666666666,7.333333333333333,8.666666666666666,1.0,5.166666666666667,5.666666666666667,0.5,0.3333333333333333,2.1666666666666665,1.8333333333333333,22.8,,,,,,,
3,2077.0,8.0,19.666666666666668,1.8333333333333333,4.666666666666667,2.8333333333333335,3.1666666666666665,1.0,3.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.5,10.1,,,,,,,
4,1191.2857142857142,4.285714285714286,9.0,0.0,0.14285714285714285,0.8571428571428571,3.4285714285714284,2.2857142857142856,4.285714285714286,1.1428571428571428,0.8571428571428571,1.2857142857142858,1.7142857142857142,2.857142857142857,6.3999999999999995,,,,,,,
0,778.6,1.2,3.2,0.8,2.2,0.4,0.4,0.2,2.0,0.6,0.0,0.0,0.4,0.4,2.44,,,,,,,
1,1724.7777777777778,6.444444444444445,11.666666666666666,0.0,0.0,0.8888888888888888,5.0,4.777777777777778,6.777777777777778,1.0,1.5555555555555556,1.3333333333333333,1.2222222222222223,3.0,12.68888888888889,,,,,,,
2,2190.8,8.8,20.2,1.4,3.8,5.4,5.8,1.2,7.6,5.8,0.6,0.0,2.2,2.2,18.32,,,,,,,
3,1155.625,2.0,6.375,0.5,2.0,0.125,0.375,1.0,2.5,1.625,0.625,0.125,1.125,1.875,2.2875,,,,,,,
4,1579.2857142857142,4.142857142857143,9.142857142857142,0.2857142857142857,1.8571428571428572,1.5714285714285714,2.2857142857142856,0.5714285714285714,2.5714285714285716,6.428571428571429,1.2857142857142858,0.0,1.5714285714285714,1.5714285714285714,9.87142857142857,,,,,,,
0,1839.2727272727273,3.6363636363636362,9.454545454545455,2.0,5.909090909090909,2.8181818181818183,3.272727272727273,0.6363636363636364,4.636363636363637,2.272727272727273,1.8181818181818181,1.3636363636363635,1.9090909090909092,2.5454545454545454,10.018181818181818,,,,,,,
1,1525.4,6.0,14.2,1.2,2.6,7.2,9.0,2.2,8.2,1.4,0.8,2.6,3.6,3.2,14.86,,,,,,,
2,1671.0833333333333,5.166666666666667,12.25,3.4166666666666665,7.0,2.25,2.4166666666666665,0.16666666666666666,2.0,1.75,1.0,0.0,1.4166666666666667,1.6666666666666667,10.283333333333333,,,,,,,
3,1673.909090909091,4.0,12.818181818181818,1.0909090909090908,4.636363636363637,2.0,2.727272727272727,1.6363636363636365,4.818181818181818,2.5454545454545454,0.45454545454545453,0.36363636363636365,2.090909090909091,1.4545454545454546,5.836363636363637,,,,,,,
4,1979.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,7.0,3.0,1.0,1.0,2.0,3.0,6.6,,,,,,,
0,1153.125,1.0,3.875,0.5,2.125,1.25,2.0,0.5,2.75,0.75,0.5,0.5,0.5,1.75,2.4875,,,,,,,
1,794.5,1.5,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.5,2.0,2.5,0.8500000000000001,,,,,,,
2,1575.0,3.75,8.75,1.375,4.625,1.5,2.25,0.625,2.625,1.25,0.75,0.125,0.375,1.75,7.3125,,,,,,,
3,1648.6190476190477,3.5238095238095237,7.523809523809524,1.4761904761904763,3.4761904761904763,1.1904761904761905,1.380952380952381,0.2857142857142857,2.238095238095238,1.2380952380952381,0.47619047619047616,0.38095238095238093,0.7619047619047619,2.2857142857142856,6.5857142857142845,,,,,,,
4,1185.5,2.4,5.6,0.5,2.0,1.4,1.9,0.7,2.5,3.0,0.4,0.3,0.9,1.5,5.99,,,,,,,
0,1269.090909090909,3.272727272727273,7.0,0.9090909090909091,2.4545454545454546,2.0,2.3636363636363638,0.45454545454545453,2.6363636363636362,3.4545454545454546,0.8181818181818182,0.2727272727272727,1.0909090909090908,1.5454545454545454,8.545454545454545,,,,,,,
1,1240.5,3.0,7.1,1.2,3.2,0.6,0.7,0.0,2.2,1.7,0.9,0.4,0.6,1.7,5.74,,,,,,,
2,2210.3333333333335,7.333333333333333,13.5,2.6666666666666665,5.666666666666667,1.5,2.5,0.16666666666666666,2.6666666666666665,2.0,0.5,0.3333333333333333,1.0,2.5,12.966666666666667,,,,,,,
3,1616.8333333333333,5.166666666666667,8.916666666666666,0.0,0.0,0.8333333333333334,1.0,2.8333333333333335,4.083333333333333,0.6666666666666666,0.16666666666666666,1.0,1.25,1.5,9.616666666666669,,,,,,,
4,1455.0,4.0,10.0,1.5,4.0,1.5,1.5,1.5,5.5,1.5,0.0,0.5,1.0,1.5,8.1,,,,,,,
0,1600.7142857142858,5.142857142857143,10.0,0.0,0.42857142857142855,1.2857142857142858,1.7142857142857142,1.0,4.714285714285714,1.7142857142857142,1.1428571428571428,0.5714285714285714,1.2857142857142858,1.2857142857142858,9.514285714285714,,,,,,,
1,2011.142857142857,3.4285714285714284,6.714285714285714,0.0,0.0,2.5714285714285716,4.285714285714286,2.7142857142857144,7.142857142857143,1.7142857142857142,0.14285714285714285,1.8571428571428572,2.0,2.4285714285714284,9.128571428571428,,,,,,,
2,1482.375,2.5,5.0,1.875,3.75,0.75,1.375,0.125,2.0,2.125,1.0,0.0,2.25,3.0,4.6,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,1945.0,6.0,7.0,4.0,4.0,2.0,2.0,0.0,5.0,5.0,3.0,0.0,3.0,3.0,19.3,,,,,,,
0,1054.25,3.25,6.0,0.75,1.25,0.5,0.75,1.25,3.75,0.75,0.5,0.0,1.75,2.0,5.225,,,,,,,
1,1998.4,11.4,19.9,5.9,10.8,4.6,4.9,0.4,4.3,6.3,1.5,0.3,3.0,2.2,27.619999999999997,,,,,,,
2,1976.6666666666667,8.166666666666666,14.666666666666666,1.0,3.3333333333333335,7.166666666666667,7.5,0.16666666666666666,5.833333333333333,6.333333333333333,1.3333333333333333,2.0,2.1666666666666665,1.8333333333333333,23.5,,,,,,,
3,1249.8,3.3,5.6,0.0,0.0,1.6,2.3,1.5,6.7,2.0,1.0,0.4,2.0,1.6,8.42,,,,,,,
4,2049.0,8.272727272727273,16.454545454545453,3.6363636363636362,7.363636363636363,1.6363636363636365,1.8181818181818181,0.45454545454545453,4.090909090909091,2.5454545454545454,0.45454545454545453,0.5454545454545454,2.0,2.090909090909091,14.863636363636363,,,,,,,
0,1588.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.4,,,,,,,
1,2246.3846153846152,9.923076923076923,23.53846153846154,0.15384615384615385,1.2307692307692308,6.6923076923076925,8.23076923076923,1.0769230769230769,4.538461538461538,3.0,0.9230769230769231,0.15384615384615385,2.3076923076923075,1.8461538461538463,15.76923076923077,,,,,,,
2,1848.5,5.333333333333333,11.833333333333334,2.0,3.5,1.0,1.1666666666666667,2.1666666666666665,5.0,0.3333333333333333,0.3333333333333333,1.5,0.6666666666666666,3.1666666666666665,10.149999999999999,,,,,,,
3,2428.4,6.8,18.2,2.4,7.0,4.5,5.8,1.3,4.7,5.4,2.5,0.4,3.6,4.1,13.6,,,,,,,
4,1691.888888888889,5.0,8.333333333333334,0.0,0.2222222222222222,2.111111111111111,3.0,2.3333333333333335,7.666666666666667,0.7777777777777778,0.7777777777777778,1.4444444444444444,1.3333333333333333,2.4444444444444446,11.877777777777776,,,,,,,
0,2020.4615384615386,7.846153846153846,15.615384615384615,0.38461538461538464,2.230769230769231,4.0,5.3076923076923075,2.3076923076923075,7.076923076923077,4.384615384615385,1.3076923076923077,1.9230769230769231,3.076923076923077,3.5384615384615383,16.73076923076923,,,,,,,
1,1953.5714285714287,6.571428571428571,15.571428571428571,0.7142857142857143,4.142857142857143,3.857142857142857,5.285714285714286,1.2857142857142858,3.0,6.428571428571429,1.0,0.5714285714285714,2.2857142857142856,2.4285714285714284,13.314285714285715,,,,,,,
2,536.6,0.8,1.2,0.4,0.4,0.0,0.0,0.6,0.8,0.6,0.4,0.2,0.2,2.0,2.1,,,,,,,
3,2266.6666666666665,5.333333333333333,15.0,1.0,4.666666666666667,3.3333333333333335,3.6666666666666665,0.16666666666666666,4.5,4.833333333333333,2.8333333333333335,0.8333333333333334,3.1666666666666665,1.8333333333333333,10.866666666666667,,,,,,,
4,1599.75,2.1666666666666665,5.833333333333333,1.3333333333333333,4.166666666666667,0.3333333333333333,0.5,0.3333333333333333,1.9166666666666667,1.5,0.75,0.0,0.16666666666666666,1.5833333333333333,4.5249999999999995,,,,,,,
0,2210.875,6.75,14.375,0.875,2.875,8.0,8.875,1.75,4.625,4.625,1.5,0.5,2.0,1.875,19.612499999999997,,,,,,,
1,1646.0833333333333,4.666666666666667,7.916666666666667,0.0,0.08333333333333333,1.0833333333333333,1.5,1.5,2.9166666666666665,1.3333333333333333,0.5833333333333334,0.25,1.3333333333333333,1.9166666666666667,8.091666666666667,,,,,,,
2,1917.7692307692307,4.923076923076923,11.461538461538462,1.3076923076923077,3.3846153846153846,5.153846153846154,5.769230769230769,0.23076923076923078,3.230769230769231,6.846153846153846,1.1538461538461537,0.3076923076923077,2.4615384615384617,2.5384615384615383,13.823076923076922,,,,,,,
3,2149.75,10.75,18.625,0.9375,3.125,3.375,4.0,3.0625,10.125,2.9375,1.0625,1.125,2.625,3.0625,22.0625,,,,,,,
4,2160.4375,7.4375,16.4375,1.1875,3.0,6.0,6.9375,0.8125,2.6875,2.75,1.4375,0.5,2.8125,2.375,14.481250000000001,,,,,,,
0,731.75,1.25,2.625,0.75,2.0,0.25,0.25,0.125,0.375,0.625,0.25,0.0,0.0,1.0,2.65,,,,,,,
1,1848.1818181818182,4.909090909090909,7.7272727272727275,0.0,0.09090909090909091,1.7272727272727273,3.4545454545454546,3.6363636363636362,4.636363636363637,1.0909090909090908,1.1818181818181819,1.5454545454545454,2.0,2.909090909090909,11.20909090909091,,,,,,,
2,2008.6363636363637,7.2727272727272725,18.545454545454547,1.9090909090909092,6.2727272727272725,3.090909090909091,3.727272727272727,1.3636363636363635,5.363636363636363,2.6363636363636362,0.8181818181818182,0.36363636363636365,1.8181818181818181,3.6363636363636362,11.427272727272726,,,,,,,
3,2149.6875,7.875,18.458333333333332,2.6458333333333335,7.104166666666667,5.4375,6.166666666666667,0.9583333333333334,6.0625,4.458333333333333,1.9166666666666667,0.5,2.5625,2.8333333333333335,17.952083333333338,,,,,,,
4,2145.4545454545455,8.727272727272727,21.545454545454547,2.090909090909091,5.818181818181818,6.090909090909091,7.636363636363637,1.7272727272727273,8.909090909090908,12.090909090909092,1.9090909090909092,0.45454545454545453,5.636363636363637,2.3636363636363638,21.418181818181818,,,,,,,
0,1210.7142857142858,3.7142857142857144,10.571428571428571,1.2857142857142858,5.285714285714286,0.2857142857142857,0.5714285714285714,0.42857142857142855,1.5714285714285714,5.428571428571429,0.14285714285714285,0.14285714285714285,1.5714285714285714,1.7142857142857142,5.528571428571429,,,,,,,
1,1988.3,5.6,13.6,1.3,3.3,2.4,3.1,0.9,3.4,1.0,0.7,0.1,1.3,1.7,8.48,,,,,,,
2,2095.5555555555557,3.6666666666666665,8.88888888888889,2.0,5.444444444444445,0.7777777777777778,0.7777777777777778,0.0,2.2222222222222223,2.5555555555555554,1.1111111111111112,0.3333333333333333,1.5555555555555556,1.6666666666666667,6.933333333333334,,,,,,,
3,1773.5714285714287,5.0,12.571428571428571,1.5714285714285714,5.142857142857143,2.5714285714285716,2.7142857142857144,0.42857142857142855,6.571428571428571,1.8571428571428572,0.14285714285714285,0.14285714285714285,1.7142857142857142,2.2857142857142856,8.471428571428572,,,,,,,
4,1933.0,4.0,15.0,0.0,6.0,4.0,7.0,1.0,4.0,5.0,2.0,0.0,5.0,3.0,3.1,,,,,,,
0,1695.0,3.6666666666666665,10.0,0.5,3.1666666666666665,2.6666666666666665,2.8333333333333335,0.5,2.0,3.6666666666666665,2.1666666666666665,0.3333333333333333,2.1666666666666665,2.0,7.849999999999999,,,,,,,
1,1407.3333333333333,3.6666666666666665,8.333333333333334,1.3333333333333333,3.6666666666666665,0.0,0.0,1.0,3.6666666666666665,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,3.866666666666667,,,,,,,
2,1750.6,4.0,10.8,1.2,4.2,2.2,2.4,0.4,1.8,3.0,1.6,0.0,0.4,1.2,9.0,,,,,,,
3,1771.8333333333333,7.333333333333333,12.333333333333334,1.1666666666666667,2.6666666666666665,2.3333333333333335,2.5,3.0,6.166666666666667,5.0,0.6666666666666666,0.5,3.0,2.3333333333333335,16.933333333333334,,,,,,,
4,1556.4,4.2,10.8,1.6,5.0,2.2,2.2,0.6,3.0,1.0,0.2,0.2,0.6,0.8,7.76,,,,,,,
0,1800.6,4.8,9.2,2.4,5.2,0.8,1.2,1.0,2.4,2.6,0.8,0.4,1.0,2.4,10.48,,,,,,,
1,1985.3,6.7,13.7,0.1,0.1,3.5,5.7,6.1,10.1,2.4,1.0,1.7,2.9,2.4,16.520000000000003,,,,,,,
2,2043.5,8.5,18.333333333333332,1.1666666666666667,4.833333333333333,5.333333333333333,6.0,1.6666666666666667,5.666666666666667,5.666666666666667,0.8333333333333334,0.5,2.8333333333333335,3.0,17.78333333333333,,,,,,,
3,1126.5,1.75,4.5,1.0,2.5,0.875,1.0,0.375,2.25,1.75,0.875,0.5,1.875,2.125,3.5375,,,,,,,
4,1338.75,4.125,7.5,0.5,1.625,0.5,0.75,0.125,2.75,5.125,0.375,0.25,1.625,3.0,7.775,,,,,,,
