,name,slug,year,Team,Lineup_name
0,Jeff Adrien,adrieje01,2012,HOU,J. Adrien
1,Arron Afflalo,afflaar01,2012,DEN,A. Afflalo
2,Blake Ahearn,ahearbl01,2012,UTA,B. Ahearn
3,Solomon Alabi,alabiso01,2012,TOR,S. Alabi
4,Cole Aldrich,aldrico01,2012,OKC,C. Aldrich
5,LaMarcus Aldridge,aldrila01,2012,POR,L. Aldridge
6,Lavoy Allen,allenla01,2012,PHI,L. Allen
7,Ray Allen*,allenra02,2012,BOS,R. Allen*
8,Tony Allen,allento01,2012,MEM,T. Allen
9,Morris Almond,almonmo01,2012,WAS,M. Almond
10,Al-Farouq Aminu,aminual01,2012,NOP,A. Aminu
11,Lou Amundson,amundlo01,2012,IND,L. Amundson
12,Chris Andersen,anderch01,2012,DEN,C. Andersen
13,Alan Anderson,anderal01,2012,TOR,A. Anderson
14,James Anderson,anderja01,2012,SAS,J. Anderson
15,Ryan Anderson,anderry01,2012,ORL,R. Anderson
16,Carmelo Anthony,anthoca01,2012,NYK,C. Anthony
17,Joel Anthony,anthojo01,2012,MIA,J. Anthony
18,Gilbert Arenas,arenagi01,2012,MEM,G. Arenas
19,Trevor Ariza,arizatr01,2012,NOP,T. Ariza
20,Ömer Aşık,asikom01,2012,CHI,Ö. Aşık
21,D.J. Augustin,augusdj01,2012,CHO,D. Augustin
22,Gustavo Ayón,ayongu01,2012,NOP,G. Ayón
23,Jeff Ayres,pendeje02,2012,IND,J. Ayres
24,Kelenna Azubuike,azubuke01,2012,DAL,K. Azubuike
25,Luke Babbitt,babbilu01,2012,POR,L. Babbitt
26,Renaldo Balkman,balkmre01,2012,NYK,R. Balkman
27,Leandro Barbosa,barbole01,2012,TOR,L. Barbosa
28,Leandro Barbosa,barbole01,2012,IND,L. Barbosa
29,J.J. Barea,bareajo01,2012,MIN,J. Barea
30,Andrea Bargnani,bargnan01,2012,TOR,A. Bargnani
31,Matt Barnes,barnema02,2012,LAL,M. Barnes
32,Earl Barron,barroea01,2012,GSW,E. Barron
33,Brandon Bass,bassbr01,2012,BOS,B. Bass
34,Tony Battie,battito01,2012,PHI,T. Battie
35,Shane Battier,battish01,2012,MIA,S. Battier
36,Nicolas Batum,batumni01,2012,POR,N. Batum
37,Jerryd Bayless,bayleje01,2012,TOR,J. Bayless
38,Michael Beasley,beaslmi01,2012,MIN,M. Beasley
39,Rodrigue Beaubois,beaubro01,2012,DAL,R. Beaubois
40,Marco Belinelli,belinma01,2012,NOP,M. Belinelli
41,Raja Bell,bellra01,2012,UTA,R. Bell
42,Keith Benson,bensoke02,2012,GSW,K. Benson
43,Mike Bibby,bibbymi01,2012,NYK,M. Bibby
44,Andris Biedriņš,biedran01,2012,GSW,A. Biedriņš
45,Chauncey Billups,billuch01,2012,LAC,C. Billups
46,Bismack Biyombo,biyombi01,2012,CHO,B. Biyombo
47,DeJuan Blair,blairde01,2012,SAS,D. Blair
48,Steve Blake,blakest01,2012,LAL,S. Blake
49,Andray Blatche,blatcan01,2012,WAS,A. Blatche
50,Eric Bledsoe,bledser01,2012,LAC,E. Bledsoe
51,Keith Bogans,boganke01,2012,BRK,K. Bogans
52,Andrew Bogut,bogutan01,2012,MIL,A. Bogut
53,Matt Bonner,bonnema01,2012,SAS,M. Bonner
54,Trevor Booker,booketr01,2012,WAS,T. Booker
55,Carlos Boozer,boozeca01,2012,CHI,C. Boozer
56,Chris Bosh,boshch01,2012,MIA,C. Bosh
57,Earl Boykins,boykiea01,2012,HOU,E. Boykins
58,Craig Brackins,brackcr01,2012,PHI,C. Brackins
59,Avery Bradley,bradlav01,2012,BOS,A. Bradley
60,Elton Brand,brandel01,2012,PHI,E. Brand
61,Corey Brewer,breweco01,2012,DEN,C. Brewer
62,Ronnie Brewer,brewero02,2012,CHI,R. Brewer
63,Jon Brockman,brockjo01,2012,MIL,J. Brockman
64,MarShon Brooks,brookma01,2012,BRK,M. Brooks
65,Derrick Brown,brownde04,2012,CHO,D. Brown
66,Kwame Brown,brownkw01,2012,GSW,K. Brown
67,Shannon Brown,brownsh01,2012,PHO,S. Brown
68,Kobe Bryant,bryanko01,2012,LAL,K. Bryant
69,Chase Budinger,budinch01,2012,HOU,C. Budinger
70,Alec Burks,burksal01,2012,UTA,A. Burks
71,Caron Butler,butleca01,2012,LAC,C. Butler
72,Jimmy Butler,butleji01,2012,CHI,J. Butler
73,Rasual Butler,butlera01,2012,TOR,R. Butler
74,Derrick Byars,byarsde01,2012,SAS,D. Byars
75,Andrew Bynum,bynuman01,2012,LAL,A. Bynum
76,Will Bynum,bynumwi01,2012,DET,W. Bynum
77,José Calderón,caldejo01,2012,TOR,J. Calderón
78,Marcus Camby,cambyma01,2012,POR,M. Camby
79,Marcus Camby,cambyma01,2012,HOU,M. Camby
80,Brian Cardinal,cardibr01,2012,DAL,B. Cardinal
81,DeMarre Carroll,carrode01,2012,DEN,D. Carroll
82,DeMarre Carroll,carrode01,2012,UTA,D. Carroll
83,Matt Carroll,carroma01,2012,CHO,M. Carroll
84,Anthony Carter,cartean01,2012,TOR,A. Carter
85,Vince Carter,cartevi01,2012,DAL,V. Carter
86,Omri Casspi,casspom01,2012,CLE,O. Casspi
87,Mario Chalmers,chalmma01,2012,MIA,M. Chalmers
88,Tyson Chandler,chandty01,2012,NYK,T. Chandler
89,Wilson Chandler,chandwi01,2012,DEN,W. Chandler
90,Josh Childress,childjo01,2012,PHO,J. Childress
91,Earl Clark,clarkea01,2012,ORL,E. Clark
92,Norris Cole,coleno01,2012,MIA,N. Cole
93,Jason Collins,collija04,2012,ATL,J. Collins
94,Darren Collison,collida01,2012,IND,D. Collison
95,Nick Collison,collini01,2012,OKC,N. Collison
96,Mike Conley,conlemi01,2012,MEM,M. Conley
97,Brian Cook,cookbr01,2012,LAC,B. Cook
98,Brian Cook,cookbr01,2012,WAS,B. Cook
99,Daequan Cook,cookda02,2012,OKC,D. Cook
100,DeMarcus Cousins,couside01,2012,SAC,D. Cousins
101,Jamal Crawford,crawfja01,2012,POR,J. Crawford
