,slug,name,Team,Location,Opponent,Outcome,date,game_id1,game_id2,game_id3,game_id4,null_count
139032,johnsja01,James Johnson,MIAMI_HEAT,HOME,LOS_ANGELES_CLIPPERS,WIN,2017-12-16,,6986.0,,7001.0,2
40133,waitedi01,Dion Waiters,CLEVELAND_CAVALIERS,HOME,TORONTO_RAPTORS,WIN,2014-03-25,2368.0,,2375.0,,2
120316,sefolth01,Thabo Sefolosha,ATLANTA_HAWKS,AWAY,ORLANDO_MAGIC,LOSS,2017-02-25,6117.0,,6126.0,,2
69912,dedmode01,Dewayne Dedmon,ORLANDO_MAGIC,AWAY,MILWAUKEE_BUCKS,WIN,2015-04-04,,3764.0,3774.0,,2
22458,burksal01,Alec Burks,UTAH_JAZZ,HOME,CHICAGO_BULLS,WIN,2013-11-25,,1513.0,,1522.0,2
140009,harklma01,Maurice Harkless,PORTLAND_TRAIL_BLAZERS,AWAY,LOS_ANGELES_LAKERS,WIN,2017-12-23,7046.0,,7059.0,,2
26385,jackja01,Jarrett Jack,CLEVELAND_CAVALIERS,AWAY,CHICAGO_BULLS,LOSS,2013-12-21,1697.0,,1708.0,,2
19299,duncati01,Tim Duncan,SAN_ANTONIO_SPURS,HOME,PHOENIX_SUNS,WIN,2013-11-06,,1370.0,,1381.0,2
140530,evansty01,Tyreke Evans,MEMPHIS_GRIZZLIES,AWAY,LOS_ANGELES_LAKERS,WIN,2017-12-27,,7072.0,7083.0,,2
32764,teletmi01,Mirza Teletović,BROOKLYN_NETS,AWAY,INDIANA_PACERS,LOSS,2014-02-01,2002.0,,2008.0,,2
32742,thompho01,Hollis Thompson,PHILADELPHIA_76ERS,AWAY,DETROIT_PISTONS,LOSS,2014-02-01,2001.0,,2011.0,,2
96692,nichoan01,Andrew Nicholson,ORLANDO_MAGIC,HOME,CHICAGO_BULLS,WIN,2016-03-26,5027.0,5020.0,,,2
121443,redicjj01,J.J. Redick,LOS_ANGELES_CLIPPERS,AWAY,CHICAGO_BULLS,WIN,2017-03-04,,6172.0,6181.0,,2
88276,jenkijo01,John Jenkins,DALLAS_MAVERICKS,AWAY,GOLDEN_STATE_WARRIORS,LOSS,2016-01-27,,4625.0,4633.0,,2
113518,breweco01,Corey Brewer,HOUSTON_ROCKETS,AWAY,ORLANDO_MAGIC,WIN,2017-01-06,5797.0,,5802.0,,2
158146,dinwisp01,Spencer Dinwiddie,BROOKLYN_NETS,HOME,NEW_YORK_KNICKS,WIN,2018-10-19,7898.0,,7906.0,,2
71145,mariosh01,Shawn Marion,CLEVELAND_CAVALIERS,AWAY,BOSTON_CELTICS,LOSS,2015-04-12,,3825.0,,3835.0,2
58544,anderal01,Alan Anderson,BROOKLYN_NETS,HOME,WASHINGTON_WIZARDS,LOSS,2015-01-17,,3222.0,,3234.0,2
122863,zubaciv01,Ivica Zubac,LOS_ANGELES_LAKERS,AWAY,DENVER_NUGGETS,LOSS,2017-03-13,6248.0,,6255.0,,2
130819,crowdja01,Jae Crowder,CLEVELAND_CAVALIERS,HOME,CHICAGO_BULLS,WIN,2017-10-24,6617.0,,6626.0,,2
122679,rushbr01,Brandon Rush,MINNESOTA_TIMBERWOLVES,AWAY,MILWAUKEE_BUCKS,LOSS,2017-03-11,6227.0,,6237.0,,2
171026,tatumja01,Jayson Tatum,BOSTON_CELTICS,AWAY,MIAMI_HEAT,LOSS,2019-01-10,8487.0,,8497.0,,2
102148,vucevni01,Nikola Vučević,ORLANDO_MAGIC,AWAY,DETROIT_PISTONS,LOSS,2016-10-28,,5279.0,5287.0,,2
14575,villach01,Charlie Villanueva,DETROIT_PISTONS,HOME,CHICAGO_BULLS,WIN,2013-04-07,1149.0,1140.0,,,2
142214,makerth01,Thon Maker,MILWAUKEE_BUCKS,AWAY,WASHINGTON_WIZARDS,WIN,2018-01-06,7139.0,,7151.0,,2
