,Game Date,Box Score,Team,Player1,Player2,Player3,Player4,Player5
0,2013-10-30,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
1,2013-11-01,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
2,2013-11-03,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
3,2013-11-05,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
4,2013-11-07,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
5,2013-11-09,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
6,2013-11-11,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
7,2013-11-13,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
8,2013-11-15,Box Score,ATL,G. Ayón,D. Carroll,A. Horford,K. Korver,J. Teague
9,2013-11-16,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
10,2013-11-19,Box Score,ATL,G. Ayón,D. Carroll,A. Horford,K. Korver,J. Teague
11,2013-11-20,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
12,2013-11-22,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
13,2013-11-23,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
14,2013-11-26,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
15,2013-11-27,Box Score,ATL,D. Carroll,A. Horford,C. Martin,P. Millsap,J. Teague
16,2013-11-29,Box Score,ATL,D. Carroll,A. Horford,P. Millsap,J. Teague,L. Williams
17,2013-11-30,Box Score,ATL,D. Carroll,A. Horford,C. Martin,P. Millsap,J. Teague
18,2013-12-02,Box Score,ATL,D. Carroll,A. Horford,P. Millsap,J. Teague,L. Williams
19,2013-12-04,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
20,2013-12-06,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
21,2013-12-10,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
22,2013-12-13,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
23,2013-12-14,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
24,2013-12-16,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
25,2013-12-18,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
26,2013-12-20,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
27,2013-12-23,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
28,2013-12-26,Box Score,ATL,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague
29,2013-12-28,Box Score,ATL,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague
30,2013-12-29,Box Score,ATL,E. Brand,K. Korver,P. Millsap,J. Teague,L. Williams
31,2013-12-31,Box Score,ATL,E. Brand,K. Korver,P. Millsap,M. Scott,J. Teague
32,2014-01-03,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
33,2014-01-04,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
34,2014-01-06,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
35,2014-01-08,Box Score,ATL,P. Antić,D. Carroll,K. Korver,P. Millsap,J. Teague
